,precision,recall,f1-score,support
PENOLAKAN_KEBIJAKAN,0.65,0.6190476190476191,0.6341463414634146,63.0
DUKUNGAN_KEBIJAKAN,0.7368421052631579,0.42424242424242425,0.5384615384615384,33.0
KRITIK_PEMERINTAHAN,0.8235294117647058,0.717948717948718,0.7671232876712328,39.0
NETRAL,0.6842105263157895,0.609375,0.6446280991735537,64.0
micro avg,0.7058823529411765,0.6030150753768844,0.6504065040650406,199.0
macro avg,0.7236455108359132,0.5926534403096904,0.6460898166924349,199.0
weighted avg,0.7094116091292375,0.6030150753768844,0.6477108384307106,199.0
samples avg,0.7152777777777778,0.65625,0.6574074074074073,199.0
