,precision,recall,f1-score,support
PENOLAKAN_KEBIJAKAN,0.6612903225806451,0.6507936507936508,0.656,63.0
DUKUNGAN_KEBIJAKAN,0.3333333333333333,0.06060606060606061,0.10256410256410256,33.0
KRITIK_PEMERINTAHAN,0.8620689655172413,0.6410256410256411,0.7352941176470589,39.0
NETRAL,0.5645161290322581,0.546875,0.5555555555555556,64.0
micro avg,0.6477987421383647,0.5175879396984925,0.5754189944134078,199.0
macro avg,0.6053021876158695,0.47482508810633817,0.5123534439416793,199.0
weighted avg,0.6151307147528521,0.5175879396984925,0.5474605101929962,199.0
samples avg,0.5868055555555556,0.5416666666666666,0.537037037037037,199.0
